"company_id","genre","company","name_eng"
102,"company","เซ็น เอกซ์ พร็อพเพอร์ตี้ แมเนจเม้นท์ จำกัด",NULL
103,"company","เซ็นทรัลพัฒนา ขอนแก่น จำกัด",NULL
104,"company","เซอร์วิส จำกัด",NULL
105,"company","เณศนเรศวร อพาร์ทเมนท์",NULL
106,"company","เดอะ 63 ทวินส์ เรสซิเดนท์ จำกัด",NULL
107,"company","เดอะ เบสท์ การบัญชี จำกัด",NULL
109,"company","เดอะ เบสท์ วัน อพาร์ทเมนท์",NULL
110,"company","เดอะ ซันซิตี้ จำกัด",NULL
111,"company","เดอะ ทรอปิคอล แอสเซท จำกัด",NULL
112,"company","เดอะ วัน แมเนจเม้นท์ จำกัด",NULL
113,"company","เดอะ สมาร์ท กรุ๊ป จำกัด",NULL
114,"company","เดอะเบสท์ การบัญชี จำกัด",NULL
115,"company","เดอะเวิร์คส์ คอมมิวนิตี้ แมนเนจเม้นท์",NULL
116,"company","เดอะเวิร์คส์ คอมมิวนิตี้ แมนเนจเม้นท์ จำกัด",NULL
117,"company","เดอะไนน์ พร๊อพเพอร์ตี้ แมเนจเมนท์ จำกัด",NULL
119,"company","เดอะกั๊มคอนโดมิเนียม",NULL
120,"company","เดอะซิตี้พร็อพเพอร์ตี้ จำกัด",NULL
121,"company","เดอะบียอนด์ จำกัด",NULL
122,"company","เดอะวันแมเนจเม้นท์ จำกัด",NULL
124,"company","เดอะสมาร์ท กรุ๊ป จำกัด (สำนักงานใหญ่)",NULL
125,"company","เตชะไพบูลย์ จำกัด",NULL
126,"company","เตชะไพบูลย์ จำกัด (สาขา 2)",NULL
127,"company","เตียง จิราธิวัฒน์ จำกัด",NULL
128,"company","เตียงจิราธิวัฒน์ จำกัด (สาขา พระราม 2)",NULL
129,"company","เทอม แคปปิตอล แมเนจเม้นท์ จำกัด",NULL
130,"company","เทียนเฉิน อินเตอร์เนชั่นแนล พร็อพเพอร์ตี้ (ไทยแลนด์) จำกัด",NULL
131,"company","เนชั่น คอนเซาท์ จำกัด",NULL
132,"company","เนชั่น คอนเซ้าท์ จำกัด",NULL
133,"company","เบเน่ เบเน่",NULL
134,"company","เบเน่ เบเน่ จำกัด",NULL
135,"company","เบ็ล ดีเวลลอปเมนท์ จำกัด",NULL
136,"company","เพกาซัส อินเตอร์เนชันแนล จำกัด",NULL
137,"company","เพชรบุญมา จำกัด",NULL
138,"company","เพรสทีจ เรสซิเด้นท์ จำกัด",NULL
139,"company","เพลน แลนด์ จำกัด",NULL
140,"company","เพอร์เฟค เพรสทิจ พร็อพเพอร์ตี้ จำกัด",NULL
141,"company","เพอร์เฟค พร็อพเพอร์ตี้ แอนด์ แอคเค้าท์ติ้ง จำกัด",NULL
143,"company","เพาเวอร์ พลัส โฟลว์ แมนเนจเมนท์ จํากัด",NULL
144,"company","เพิ่มพูล ประสิทธิ์-ตุ๊ จำกัด",NULL
145,"company","เฟรเกรนท์ พร็อพเพอร์ตี้ แมเนจเม้นท์",NULL
146,"company","เฟรเกรนท์ พร็อพเพอร์ตี้ แมเนจเม้นท์ จำกัด",NULL
147,"company","เฟรเกรนท์ พร็อพเพอร์ตี้ จำกัด",NULL
148,"company","เฟรเกรนท์ พร็อพเพอร์ตี้ จำกัด มหาชน",NULL
149,"company","เฟิรส์ แปซิฟิก ฮาริสัน จำกัด",NULL
150,"company","เฟิร์ส แปซิฟิค ฮาริสัน จำกัด",NULL
152,"company","เมเจอร์ เรสซิเด้นส์ จำกัด",NULL
