ticket_id,year,date,company_id,management_id,status_id,phone1_id,phone2_id,phone3_id,question_id,solve_id
94,2026,NULL,1055,774,788,NULL,2843,NULL,148,7973
95,2026,NULL,5298,NULL,788,NULL,1741,NULL,129,8647
96,2026,NULL,7127,407,1347,1839,NULL,NULL,138,15730
97,2026,NULL,6550,NULL,1012,NULL,NULL,4267,162,20881
98,2026,NULL,6351,NULL,839,NULL,1094,NULL,59,2956
99,2026,NULL,4416,NULL,801,NULL,NULL,2754,24,8647
100,2026,NULL,6828,NULL,847,NULL,NULL,3480,152,18139
101,2026,NULL,6632,NULL,806,NULL,3317,NULL,120,6066
102,2026,NULL,5057,NULL,811,NULL,3148,NULL,104,5477
103,2026,NULL,2297,NULL,788,NULL,2367,NULL,150,20881
104,2026,NULL,6635,626,1332,NULL,4238,NULL,25,12077
105,2026,NULL,6030,341,678,1242,NULL,NULL,79,14981
106,2026,NULL,1285,NULL,811,NULL,3006,NULL,156,NULL
107,2026,NULL,2063,NULL,801,NULL,NULL,4825,69,20852
108,2026,NULL,6917,342,828,719,NULL,NULL,90,NULL
109,2026,NULL,6533,NULL,839,NULL,NULL,6029,140,20881
110,2026,NULL,1544,NULL,973,NULL,NULL,2055,179,22306
111,2026,NULL,6632,NULL,806,NULL,3317,NULL,30,14981
112,2026,NULL,6470,NULL,788,NULL,1874,NULL,40,20881
113,2026,NULL,3372,NULL,801,NULL,3000,NULL,110,22234
114,2026,NULL,5066,NULL,839,NULL,2268,NULL,71,8647
115,2026,NULL,6891,NULL,839,1834,NULL,NULL,156,20881
116,2026,NULL,6676,NULL,1332,NULL,NULL,347,125,NULL
117,2026,NULL,6299,NULL,1333,NULL,NULL,7401,185,8647
118,2026,NULL,6118,NULL,939,NULL,NULL,3603,134,15047
119,2026,NULL,6366,NULL,1093,NULL,NULL,2741,59,6600
120,2026,NULL,5828,NULL,866,NULL,4437,NULL,51,20881
121,2026,NULL,6175,NULL,1332,NULL,NULL,4859,122,8568
122,2026,NULL,6503,NULL,986,NULL,4784,NULL,99,22132
123,2026,NULL,5642,440,678,NULL,4570,NULL,66,14837
124,2026,NULL,3521,NULL,1554,NULL,524,NULL,34,15170
125,2026,NULL,3983,NULL,1881,NULL,2457,NULL,7,15170
126,2026,NULL,4761,NULL,866,NULL,NULL,657,27,5620
127,2026,NULL,3170,607,788,NULL,1365,NULL,21,8647
128,2026,NULL,2562,743,672,NULL,1797,NULL,144,14870
129,2026,NULL,1177,844,1469,NULL,680,NULL,34,15170
130,2026,NULL,5389,856,847,NULL,1454,NULL,60,20881
131,2026,NULL,5854,NULL,1332,NULL,2353,NULL,127,8427
132,2026,NULL,3083,NULL,820,NULL,322,8249,82,20957
133,2026,NULL,6312,736,866,NULL,NULL,4863,37,8647
134,2026,NULL,4650,NULL,777,NULL,NULL,5587,4,15637
135,2026,NULL,1990,NULL,839,NULL,2910,NULL,123,5206
136,2026,NULL,5066,NULL,839,NULL,2268,NULL,170,20881
137,2026,NULL,3636,616,1077,NULL,NULL,1222,47,15734
138,2026,NULL,6118,NULL,939,NULL,NULL,3603,80,20881
