phone1_id,phone1,new_phone1_id
193,02-064-0184(โทร.เบอร์นี้ก่อน)02-736-7674,NULL
194,02-064-0184(นิติฯ),NULL
195,02-064-0184,NULL
196,02-064-1309,NULL
197,02-064-1309(นิติฯ),NULL
198,02-064-1347,NULL
199,02-066-0141,NULL
200,02-066-5855,NULL
201,02-066-6413(นิติฯ),NULL
202,02-068-8899,NULL
203,02-068-8899(บริษัท),NULL
204,02-069-6936,NULL
205,02-069-6936(นิติฯ),NULL
206,02-069-6936,NULL
207,02-075-8989,NULL
208,02-075-8989(นิติฯ),NULL
209,02-076-1232#2324,NULL
210,02-076-1232#2324,NULL
211,02-076-1232(บริษัท),NULL
212,02-077-8425,NULL
213,02-077-8425(บริษัท),NULL
214,02-080-2759(นิติฯ),NULL
215,02-083-8300,NULL
216,02-087-1589,NULL
217,02-087-1589(นิติฯ),NULL
218,02-090-2233,NULL
219,02-090-2541,NULL
220,02-090-2541(นิติฯ),NULL
221,02-090-2541(นิติฯ)เก่า,NULL
222,02-096-1923,NULL
223,02-100-4857,NULL
224,02-100-4857(นิติฯ),NULL
225,02-100-4857#099(นิติฯ),NULL
226,02-100-4857(นิติฯ),NULL
227,02-101-0115,NULL
228,02-101-1825,NULL
229,02-101-1825(นิติ2),NULL
230,02-101-1825(นิติฯ2),NULL
231,02-101-1851,NULL
232,02-101-1851(นิติ),NULL
233,02-101-1851(นิติ1)02-101-1825(นิติ2),NULL
234,02-101-1851(นิติฯ),NULL
235,02-101-1851(นิติฯ1),NULL
236,02-101-2107,NULL
237,02-101-2107(นิติฯ),NULL
238,02-101-2107,NULL
239,02-101-4275(นิติฯ),NULL
240,02-101-5249,NULL
241,02-101-5249(นิติฯ),NULL
242,02-101-5249,NULL
243,02-101-5289,NULL
244,02-101-5289(นิติฯ),NULL
245,02-101-5419,NULL
246,02-101-5419(นิติฯ),NULL
247,02-101-5495,NULL
248,02-101-5510(นิติฯ),NULL
249,02-101-5671,NULL
250,02-101-5671(นิติฯ),NULL
251,02-101-5671(นิติฯ),NULL
252,02-101-5671,NULL
253,02-101-6972,NULL
254,02-101-6972(นิติฯ),NULL
255,02-101-9864,NULL
256,02-101-9864(นิติฯ),NULL
257,02-102-1600(นิติฯ),NULL
258,02-102-2078,NULL
259,02-102-2078(นิติฯ),NULL
260,02-102-3688,NULL
261,02-102-5489,NULL
262,02-102-5489(นิติฯ),NULL
263,02-102-5955(นิติฯ),NULL
264,02-102-7622(นิติฯ)ติดต่อเบอร์นี้ก่อน,NULL
265,02-106-2328,NULL
266,02-106-2328(นิติฯ),NULL
267,02-106-2328(นิติฯ),NULL
268,02-106-2657,NULL
269,02-106-3087(นิติฯ),NULL
270,02-107-0761(นิติฯ),NULL
271,02-108-0079(บริษัท),NULL
272,02-108-4040ต่อ1801,NULL
273,02-108-5251,NULL
274,02-108-5251(เบอร์TuffService),NULL
275,02-108-5251คุณหญิง,NULL
276,02-108-5251(บริษัท),NULL
277,02-108-5251(บริษัท),NULL
278,02-108-5251(บริษัท),NULL
279,02-108-5251(บริษัท)บัญชีส่วนกลาง(คุณตี๋),NULL
