date,rc_no,detail,price
2011-01-04,54/0001,ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส 1 เดือน,11000
2011-01-04,54/0001,"(ธ.ค. 2553) ",NULL
2011-01-06,54/0002,MA : MEMBER,3900
2011-01-06,54/0003,โปรแกรมระบบบัญชีแยกประเภท (GL),5000
2011-01-06,54/0004,MA : MEMBER,5000
2011-01-07,54/0005,1.LAN x1,6400
2011-01-07,54/0005,2.MA : MEMBER,NULL
2011-01-10,54/0006,LAN x1,2000
2011-01-10,54/0007,1.MA : MEMBER,25600
2011-01-10,54/0007,**บริษัท  อินดี้ พร็อพเพอร์ตี้  จำกัด**,NULL
2011-01-10,54/0007,2.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),NULL
2011-01-10,54/0007,1 ปี ( 2 หน่วยงาน),NULL
2011-01-10,54/0007,1.นิติฯ ป.ธนาทาวเวอร์ 1,NULL
2011-01-10,54/0007,2.นิติฯ ป.ธนาทาวเวอร์ 2,NULL
2011-01-11,54/0008,โปรแกรมบัญชีหอพัก (CM),27500
2011-01-12,54/0009,LAN x1,2250
2011-01-12,54/0010,1.โปรแกรมบัญชีอาคารชุด (CM),38000
2011-01-12,54/0010,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-01-12,54/0010,3.LAN x1 (เอส แอนด์ เอส สุขุมวิท),NULL
2011-01-12,54/0010,4.ค่าบริการย้ายโปรแกรมจาก วิลล่าสาทร,NULL
2011-01-12,54/0010,ไป นอร์ธพาร์คเพลส,NULL
2011-01-12,54/0011,โปรแกรมบัญชีอพาร์ทเม้นท์ (AM),19000
2011-01-17,54/0012,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),15200
2011-01-17,54/0012,2.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (AP),NULL
2011-01-17,54/0012,3.ค่าติดตั้งโปรแกรม,NULL
2011-01-17,54/0012,**ไอดีโอ ลาดพร้าว 17**,NULL
2011-01-17,54/0013,สิทธิ์การเพิ่มทะเบียนบริษัท (1 ทะเบียน),9000
2011-01-17,54/0014,ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),10800
2011-01-17,54/0014,**บ้านสุขุมวิท 77**,NULL
2011-01-18,54/0015,MA : MEMBER,5000
2011-01-18,54/0016,1.โปรแกรมบัญชีอาคารชุด (CM),21143.689453125
2011-01-18,54/0016,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-01-18,54/0016,3.โปรแกรมระบบบัญชีรายจ่าย/เจ้าหนี้ (AP),NULL
2011-01-18,54/0016,4.LAN x1,NULL
2011-01-18,54/0016,5.โปรแกรมบัญชีอาคารชุด (CM),NULL
2011-01-18,54/0016,2 หน่วยงาน,NULL
2011-01-18,54/0016,**งวด 3**,NULL
2011-01-18,54/0017,โปรแกรมบัญชีอาคารชุด (CM) สำหรับ,6162.5
2011-01-18,54/0017,หน่วยงาน **นิติฯ ไอดิโอ มิกซ์ พหลโยธิน**,NULL
2011-01-18,54/0017,**งวด 2**,NULL
2011-01-18,54/0018,โปรแกรมบัญชีอาคารชุด (CM) สำหรับ,12325
2011-01-18,54/0018,หน่วยงาน **นิติฯ ไอดิโอ คิว พญาไท**,NULL
2011-01-18,54/0018,**งวด 1**,NULL
2011-01-18,54/0019,LAN x1,2000
2011-01-18,54/0020,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),22700
2011-01-18,54/0020,ระยะเวลา  1 ปี,NULL
2011-01-18,54/0020,1.The Lakes,NULL
2011-01-18,54/0020,2.เพรสซิเดนท์ พาร์ค ฮาร์เบอร์วิวมะฮอกกานี ทาวเวอร์,NULL
2011-01-18,54/0020,2.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),NULL
2011-01-18,54/0020,ระยะเวลา  3 เดือน,NULL
2011-01-18,54/0020,**ไอวี่ ริเวอร์**,NULL
2011-01-19,54/0021,LAN x1,2500
2011-01-19,54/0022,1.โปรแกรมบัญชีอาคารชุด (CM),17000
2011-01-19,54/0022,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-01-19,54/0022,**งวด 1**,NULL
2011-01-19,54/0023,MA : MEMBER,3315
2011-01-19,54/0024,ค่าบริการกระชับข้อมูลนิติบุคคลฯ,5000
2011-01-21,54/0025,MA : MEMBER,3900
2011-01-21,54/0026,MA : MEMBER,6000
2011-01-21,54/0027,1.โปรแกรมบัญชีพื้นที่เช่า,18250
2011-01-21,54/0027,2.สิทธิ์การเพิ่มทะเบียนบริษัท x1,NULL
2011-01-21,54/0027,3.LAN x1,NULL
2011-01-21,54/0027,**งวด 2**,NULL
2011-01-21,54/0028,MA : MEMBER,5000
2011-01-22,54/0029,LAN x1,2500
2011-01-24,54/0030,MA : MEMBER,4672.89990234375
2011-01-24,54/0031,MA : MEMBER,3900
2011-01-26,54/0032,1.โปรแกรมบัญชีอาคารชุด (CM),16242.990234375
2011-01-26,54/0032,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-01-26,54/0032,**งวด 2**,NULL
2011-01-26,54/0033,สิทธิ์การเพิ่มทะเบียนบริษัท (1 ทะเบียน),9000
2011-01-31,54/0034,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),12800
2011-01-31,54/0034,2.ค่าติดตั้งโปรแกรม,NULL
2011-01-31,54/0034,**หน่วยงาน  เดอะสตาร์ บี**,NULL
2011-02-01,54/0035,1.โปรแกรมบัญชีอาคารชุด (CM),29250
2011-02-01,54/0035,2.โปรแกรมระบบบัญชีแยกประเภท(GL),NULL
2011-02-01,54/0035,3.โปรแกรมระบบบัญชีรายจ่าย/เจ้าหนี้(AP),NULL
2011-02-01,54/0035,**ม.มัณฑนา และบุศรินทร์ ธนบุรีรมย์**,NULL
2011-02-01,54/0036,1.โปรแกรมบัญชีอาคารชุด (CM),34000
2011-02-01,54/0036,2.โปรแกรมระบบบัญชีแยกประเภท(GL),NULL
2011-02-01,54/0037,โปรแกรมบัญชีบริหารอาคารชุด (CM),26100
2011-02-01,54/0037,สำหรับหน่วยงาน  เดอะปาร์คแลนด์ ตากสินท่าพระ,NULL
2011-02-01,54/0038,ค่าบริการย้ายโปรแกรม Softbiz,2000
2011-02-03,54/0039,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),12800
2011-02-03,54/0039,2.ค่าติดตั้งโปรแกรม,NULL
2011-02-03,54/0039,**หน่วยงาน  ม.ลัลลี่วิลล์ ธนบุรีรมย์**,NULL
2011-02-03,54/0040,1.โปรแกรมบัญชีอาคารชุด (CM),24650
2011-02-03,54/0040,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-02-03,54/0040,3.LAN x1,NULL
2011-02-03,54/0040,**สำนักงานใหญ่**,NULL
2011-02-03,54/0040,4.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),NULL
2011-02-03,54/0040,ระยะเวลา1 ปี,NULL
2011-02-03,54/0040,5.ค่าติดตั้งโปรแกรม,NULL
2011-02-03,54/0040,**หน่วยงาน ม.วรารมณ์ เพชรเกษม 81**,NULL
2011-02-03,54/0040,~งวด 2~,NULL
2011-02-03,54/0041,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),12800
2011-02-03,54/0041,2.ค่าติดตั้งโปรแกรม,NULL
2011-02-03,54/0041,**หน่วยงาน  ม.ปริญลักษณ์ พระราม 2**,NULL
2011-02-03,54/0042,MA : MEMBER,3900
2011-02-04,54/0043,โปรแกรมระบบบัญชีแยกประเภท(GL),5000
2011-02-04,54/0044,1.โปรแกรมบัญชีอาคารชุด (CM),15600
2011-02-04,54/0044,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-02-04,54/0044,3.โปรแกรมระบบบัญชีรายจ่าย/เจ้าหนี้ (AP),NULL
2011-02-04,54/0044,**งวด 2**,NULL
2011-02-04,54/0045,MA : MEMBER,3271.03002929688
2011-02-08,54/0046,MA : MEMBER,3900
2011-02-08,54/0047,ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส 1 เดือน,13000
2011-02-08,54/0047,"(ม.ค. 2554) ",NULL
2011-02-10,54/0048,MA : MEMBER,3000
2011-02-12,54/0049,MA : MEMBER และ Upgrade โปรแกรม,5400
2011-02-14,54/0050,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),12800
2011-02-14,54/0050,2.ค่าติดตั้งโปรแกรม,NULL
2011-02-14,54/0050,**หน่วยงาน  ธนาทรี ปิ่นเกล้า**,NULL
2011-02-14,54/0051,MA : MEMBER,3510
2011-02-15,54/0052,MA : MEMBER,3510
2011-02-16,54/0053,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),12800
2011-02-16,54/0053,2.ค่าติดตั้งโปรแกรม,NULL
2011-02-16,54/0053,**หน่วยงาน  เดอะพาร์คแลนด์ บางนา 2**,NULL
2011-02-16,54/0054,โปรแกรมระบบบัญชีแยกประเภท(GL),5000
2011-02-16,54/0055,MA : MEMBER,6400
2011-02-16,54/0055,**งวด 1**,NULL
2011-02-17,54/0056,1.โปรแกรมบัญชีอาคารชุด (CM),39000
2011-02-17,54/0056,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-02-17,54/0056,3.โปรแกรมระบบบัญชีรายจ่าย/เจ้าหนี้ (AP),NULL
2011-02-17,54/0056,**บ้านนวธารา รีเวอร์ไลฟ์**,NULL
2011-02-21,54/0057,MA : MEMBER,3900
2011-02-21,54/0058,1.โปรแกรมบัญชีอาคารชุด,31300
2011-02-21,54/0058,2.โปรแกรมระบบบัญชีแยกประเภท,NULL
2011-02-21,54/0058,3.โปรแกรมระบบบัญชีรายจ่าย/เจ้าหนี้,NULL
2011-02-21,54/0058,4.สิทธิ์การเพิ่มทะเบียนบริษัท (2 ทะเบียน),NULL
2011-02-21,54/0058,4.LAN x2,NULL
2011-02-21,54/0058,4.LAN x4 สำหรับสำนักงานใหญ่ (ราคาลด 50%),NULL
2011-02-21,54/0058,**งวด 1**,NULL
2011-02-22,54/0059,MA : MEMBER,3900
2011-02-22,54/0060,โปรแกรมบัญชีอพาร์ทเม้นท์,19000
2011-02-23,54/0061,MA : MEMBER และ Upgrade โปรแกรม,6900
2011-02-23,54/0062,ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),10800
2011-02-23,54/0062,**รัชดาซิตี้ 18**,NULL
2011-02-23,54/0063,1.โปรแกรมบัญชีหมู่บ้านจัดสรร (VM),12000
2011-02-23,54/0063,2.โปรแกรมระบบบัญชีแยกประเภท,NULL
2011-02-24,54/0064,MA : MEMBER,6400
2011-02-24,54/0064,**งวด 2**,NULL
2011-02-24,54/0065,MA : MEMBER,5000
2011-02-24,54/0066,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),13500
2011-02-24,54/0066,ระยะเวลา  3 เดือน,NULL
2011-02-24,54/0066,** หน่วยงาน  นิติฯ ไอวี่ ริเวอร์  **,NULL
2011-02-24,54/0066,2.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),NULL
2011-02-24,54/0066,ระยะเวลา  1 ปี,NULL
2011-02-24,54/0066,** หน่วยงาน  นิติบุคคลอาคารชุด นอร์ทพ้อยท์  **,NULL
2011-02-25,54/0067,MA : MEMBER,8000
2011-02-25,54/0068,MA : MEMBER,3510
2011-02-28,54/0069,LAN x1,2500
2011-02-28,54/0070,MA : MEMBER,3510
2011-03-01,54/0071,โปรแกรมบัญชีหมู่บ้านจัดสรร (HJ),18691.58984375
2011-03-02,54/0072,โปรแกรมบัญชีหมู่บ้านจัดสรร (HJ),24000
2011-03-02,54/0073,MA : MEMBER,3510
2011-03-02,54/0074,MA : MEMBER,3510
2011-03-03,54/0075,MA : MEMBER,3900
2011-03-03,54/0076,MA : MEMBER,3900
2011-03-04,54/0077,MA : MEMBER,3510
2011-03-04,54/0078,โปรแกรมบัญชีอาคารชุด (CM),78000
2011-03-04,54/0078,ระบบบัญชีแยกประเภท (GL) และ,NULL
2011-03-04,54/0078,"ระบบบัญชีรายจ่าย/เจ้าหนี้ (AP) ",NULL
2011-03-04,54/0078,สำหรับ 1 สำนักงานใหญ่ และ 12 หน่วยงานย่อย,NULL
2011-03-04,54/0078,รวมทั้งหมด 13 หน่วยงาน,NULL
2011-03-04,54/0078,**งวด 1**,NULL
2011-03-04,54/0079,โปรแกรมบัญชีอาคารชุด (CM),78000
2011-03-04,54/0079,ระบบบัญชีแยกประเภท (GL) และ,NULL
2011-03-04,54/0079,"ระบบบัญชีรายจ่าย/เจ้าหนี้ (AP) ",NULL
2011-03-04,54/0079,สำหรับ 1 สำนักงานใหญ่ และ 12 หน่วยงานย่อย,NULL
2011-03-04,54/0079,รวมทั้งหมด 13 หน่วยงาน,NULL
2011-03-04,54/0079,**งวด 2**,NULL
2011-03-04,54/0080,ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส 1 เดือน,10000
2011-03-04,54/0080,(ก.พ..2553),NULL
2011-03-07,54/0081,MA : MEMBER,3900
2011-03-07,54/0082,MA : MEMBER,3900
2011-03-07,54/0083,1.โปรแกรมบัญชีอาคารชุด (CM),44000
2011-03-07,54/0083,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-03-07,54/0083,3.โปรแกรมระบบบัญชีรายจ่าย/เจ้าหนี้(AP),NULL
2011-03-07,54/0083,4.LAN x2,NULL
2011-03-07,54/0084,1.โปรแกรมบัญชีอาคารชุด (CM),26100
2011-03-07,54/0084,(ติดตั้งที่หน่วยงาน Tempo ร่วมฤดี),NULL
2011-03-07,54/0084,2.ส่วนลดพิเศษ  10%,NULL
2011-03-08,54/0085,MA : MEMBER,3900
2011-03-09,54/0086,ค่าบริการย้ายโปรแกรม,2000
2011-03-09,54/0086,(จากเอฟ พรอพเพอร์ตี้ฯ ไป บ้านสวนธน),NULL
2011-03-10,54/0087,MA : MEMBER,3500
2011-03-11,54/0088,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),13200
2011-03-11,54/0088,2.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (AP),NULL
2011-03-11,54/0088,**หน่วยงานไอวี่  สาทร 10**,NULL
2011-03-11,54/0089,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),13200
2011-03-11,54/0089,2.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (AP),NULL
2011-03-11,54/0089,**หน่วยงานสินสาธร ทาวเวอร์**,NULL
2011-03-11,54/0090,LAN x1,2500
2011-03-11,54/0091,1.โปรแกรมบัญชีอาคารชุด (CM),15600
2011-03-11,54/0091,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-03-11,54/0091,3.โปรแกรมระบบบัญชีรายจ่าย/เจ้าหนี้(AP),NULL
2011-03-11,54/0091,**งวด 1**,NULL
2011-03-11,54/0092,1.โปรแกรมบัญชีอาคารชุด (AM),16150
2011-03-12,54/0093,1.โปรแกรมบัญชีอาคารชุด (CM),31620
2011-03-12,54/0093,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-03-14,54/0094,ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),10800
2011-03-14,54/0094,ระยะเวลา 1 ปี,NULL
2011-03-14,54/0094,**หมู่บ้านพฤกษ์ลดา**,NULL
2011-03-14,54/0095,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),12800
2011-03-14,54/0095,ระยะเวลา 1 ปี,NULL
2011-03-14,54/0095,2.ค่าติดตั้งโปรแกรม,NULL
2011-03-14,54/0095,**ม.คาซาวิลล์ วัชรพล**,NULL
2011-03-15,54/0096,MA : MEMBER,3510
2011-03-15,54/0097,MA : MEMBER,3510
2011-03-15,54/0098,MA : MEMBER,3510
2011-03-16,54/0099,ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),2700
2011-03-16,54/0099,ระยะเวลา  3 เดือน,NULL
2011-03-16,54/0099,**นิติบุคคลฯ เฟรเกรนท์ 71**,NULL
2011-03-17,54/0100,MA : MEMBER,3900
2011-03-17,54/0101,LAN x1,2500
2011-03-18,54/0102,MA : MEMBER และค่าอัปเกรดโปรแกรม,6900
2011-03-18,54/0103,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),15200
2011-03-18,54/0103,2.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (AP),NULL
2011-03-18,54/0103,3.ค่าติดตั้งโปรแกรม,NULL
2011-03-18,54/0104,LAN x1,2500
2011-03-18,54/0105,โปรแกรมบัญชีอาคารชุด (CM),104000
2011-03-18,54/0105,ระบบบัญชีแยกประเภท (GL) และ,NULL
2011-03-18,54/0105,"ระบบบัญชีรายจ่าย/เจ้าหนี้ (AP) ",NULL
2011-03-18,54/0105,สำหรับ 1 สำนักงานใหญ่ และ 12 หน่วยงานย่อย,NULL
2011-03-18,54/0105,รวมทั้งหมด 13 หน่วยงาน,NULL
2011-03-18,54/0105,**งวด 3**,NULL
2011-03-21,54/0106,MA : MEMBER,1950
2011-03-21,54/0107,MA : MEMBER,1950
2011-03-21,54/0108,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),12800
2011-03-21,54/0108,ระยะเวลา 1 ปี,NULL
2011-03-21,54/0108,2.ค่าติดตั้งโปรแกรม,NULL
2011-03-21,54/0108,**โนเบิล ไลท์**,NULL
2011-03-21,54/0109,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),12800
2011-03-21,54/0109,ระยะเวลา 1 ปี,NULL
2011-03-21,54/0109,2.ค่าติดตั้งโปรแกรม,NULL
2011-03-21,54/0109,**หมู่บ้านโบเลโร่**,NULL
2011-03-21,54/0110,ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),12000
2011-03-21,54/0110,ระยะเวลา 1 ปี,NULL
2011-03-21,54/0110,**สีลมสวีท**,NULL
2011-03-21,54/0111,ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),10800
2011-03-21,54/0111,ระยะเวลา 1 ปี,NULL
2011-03-21,54/0111,**เซนต์ สุขุมวิท**,NULL
2011-03-21,54/0112,MA : MEMBER,3900
2011-03-22,54/0113,โปรแกรมระบบบัญชีแยกประเภท,3000
2011-03-22,54/0113,สำหรับหน่วยงาน เดอะคริส 2,NULL
2011-03-22,54/0114,LAN x1,2500
2011-03-23,54/0115,MA : MEMBER,3510
2011-03-23,54/0116,1.MA:MEMBER และค่าอัปเกรดโปรแกรม,4600
2011-03-23,54/0116,2.ส่วนลด,NULL
2011-03-23,54/0117,MA : MEMBER,3000
2011-03-24,54/0118,MA : MEMBER,3900
2011-03-25,54/0119,MA : MEMBER,3510
2011-03-25,54/0120,MA : MEMBER,3510
2011-03-25,54/0121,LAN x1,2500
2011-03-26,54/0122,โปรแกรมบัญชีอพาร์ทเม้นท์ (AM),21600
2011-03-29,54/0123,MA : MEMBER,3000
2011-03-29,54/0124,1.LAN x2,4500
2011-03-29,54/0124,2.ส่วนลด 10%,NULL
2011-03-31,54/0125,1.โปรแกรมบัญชีอาคารชุด (CM),26100
2011-03-31,54/0125,2.ส่วนลดพิเศษ 10%,NULL
2011-03-31,54/0126,MA : MEMBER,2500
2011-03-31,54/0127,MA : MEMBER,2500
2011-03-31,54/0128,1.โปรแกรมบัญชีหมู่บ้านจัดสรร (VM),12000
2011-03-31,54/0128,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-03-31,54/0128,** งวด 2 **,NULL
2011-03-31,54/0129,ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),2750
2011-03-31,54/0129,ระหว่าง ตุลาคม  ธันวาคม 2553,NULL
2011-03-31,54/0129,**ม.มัณฑนา และบุศรินทร์ ธนบุรีรมย์**,NULL
2011-03-31,54/0130,ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),4500
2011-03-31,54/0130,ระยะเวลา 3 เดือน,NULL
2011-04-01,54/0131,1.โปรแกรมบัญชีหมู่บ้านจัดสรร (VM),24000
2011-04-01,54/0131,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-04-01,54/0132,1.โปรแกรมบัญชีอาคารชุด (CM),34000
2011-04-01,54/0132,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-04-01,54/0133,MA : MEMBER,5600
2011-04-02,54/0134,MA : MEMBER,3900
2011-04-05,54/0135,MA : MEMBER,5000
2011-04-05,54/0136,1. ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),20300
2011-04-05,54/0136,ระยะเวลา  1 ปี ( ซิตี้วิลล์ ตึก A ),NULL
2011-04-05,54/0136,"2.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM) ",NULL
2011-04-05,54/0136,สำหรับ 3 หน่วยงานย่อย ในเครื่องเดียวกับ,NULL
2011-04-05,54/0136,หน่วยงานแรก ระยะเวลา  1 ปี,NULL
2011-04-05,54/0136,(1.ซิตี้วิลล์ ตึก B และ C 2.ซิตี้วิลล์ ตึก D และ E,NULL
2011-04-05,54/0136,3.ซิตี้วิลล์ ตึก F และ G),NULL
2011-04-05,54/0136,3.ค่าติดตั้งโปรแกรม,NULL
2011-04-05,54/0137,ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),10800
2011-04-05,54/0137,ระยะเวลา  1 ปี,NULL
2011-04-05,54/0137,**VIP คอนโดเชน พัทยา**,NULL
2011-04-05,54/0138,ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส 1 เดือน,9000
2011-04-05,54/0138,(มี.ค..2553),NULL
2011-04-05,54/0139,MA : MEMBER,3644.86010742188
2011-04-07,54/0140,MA : MEMBER และอัปเกรดโปรแกรม,5400
2011-04-08,54/00141,ค่าติดตั้งโปรแกรม สุภาพงษ์เพลส,2000
2011-04-08,54/0142,MA : MEMBER,3900
2011-04-09,54/0143,1.โปรแกรมบัญชีอาคารชุด (CM),34000
2011-04-09,54/0143,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-04-11,54/0144,1.โปรแกรมบัญชีอาคารชุด (CM),34000
2011-04-11,54/0144,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-04-11,54/0145,โปรแกรมบัญชีอาคารชุด (CM),14500
2011-04-11,54/0145,** งวด 1 **,NULL
2011-04-11,54/0146,MA : MEMBER,3900
2011-04-11,54/0147,1.MA : MEMBER,5950
2011-04-11,54/0147,2.ส่วนลด 15%,NULL
2011-04-12,54/0148,MA : MEMBER,3510
2011-04-12,54/0149,MA : MEMBER,3000
2011-04-12,54/0150,MA : MEMBER,4000
2011-04-18,54/0151,1.โปรแกรมบัญชีอาคารชุด (CM),17000
2011-04-18,54/0151,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-04-19,54/0152,MA : MEMBER,3900
2011-04-19,54/0153,ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),10800
2011-04-19,54/0154,MA : MEMBER,3510
2011-04-19,54/0155,MA : MEMBER,5000
2011-04-19,54/0156,สิทธิ์การเพิ่มทะเบียนบริษัท 1 ทะเบียน,5000
2011-04-21,54/0157,โปรแกรมบัญชีอพาร์ทเม้นท์,24000
2011-04-21,54/0157,(ติดตั้งที่โครงการพระปิ่น 7),NULL
2011-04-21,54/0158,1.โปรแกรมบัญชีอาคารชุด (CM),32300
2011-04-21,54/0158,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-04-21,54/0158,3.ส่วนลด 5%,NULL
2011-04-21,54/0159,MA : MEMBER,3900
2011-04-21,54/0160,LAN,2500
2011-04-21,54/0161,MA : MEMBER,3900
2011-04-21,54/0162,MA : MEMBER,3510
2011-04-22,54/0163,โปรแกรมบัญชีอาคารชุด,29000
2011-04-22,54/0164,1.โปรแกรมบัญชีอาคารชุด (CM),30600
2011-04-22,54/0164,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-04-22,54/0164,3.ส่วนลด 10%,NULL
2011-04-25,54/0165,1.โปรแกรมบัญชีอาคารชุด (CM),19500
2011-04-25,54/0165,** งวด 2 **,NULL
2011-04-25,54/0165,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-04-25,54/0166,MA : MEMBER,3510
2011-04-26,54/0167,MA : MEMBER,3510
2011-04-27,54/0168,1.โปรแกรมบัญชีอาคารชุด (CM),34000
2011-04-27,54/0168,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-04-27,54/0169,MA : MEMBER,3900
2011-04-28,54/0170,MA : MEMBER,3510
2011-04-29,54/0171,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),15200
2011-04-29,54/0171,2.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (AP),NULL
2011-04-29,54/0171,3.ค่าติดตั้งโปรแกรม,NULL
2011-04-29,54/0171,**สุขุมวิท ลิฟวิ่งทาวน์**,NULL
2011-04-29,54/0172,MA : MEMBER,3000
2011-04-29,54/0173,MA : MEMBER,3900
2011-04-29,54/0174,1.โปรแกรมบัญชีอาคารชุด (CM),15600
2011-04-29,54/0174,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-04-29,54/0174,3.โปรแกรมระบบบัญชีรายจ่าย/เจ้าหนี้(AP),NULL
2011-04-29,54/0174,**งวด 2**,NULL
2011-04-30,54/0175,MA : MEMBER,3510
2011-04-30,54/0176,1.โปรแกรมบัญชีอาคารชุด และระบบบัญชี,52500
2011-04-30,54/0176,แยกประเภท สำหรับ บ้านสวนธน 54 นิติฯ,NULL
2011-04-30,54/0176,2.LAN x1,NULL
2011-05-03,54/0177,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),37800
2011-05-03,54/0177,ระยะเวลา  1 ปี,NULL
2011-05-03,54/0177,*** หน่วยงาน  มิว  ***,NULL
2011-05-03,54/0177,2.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),NULL
2011-05-03,54/0177,ระยะเวลา  6 เดือน,NULL
2011-05-03,54/0177,1.ไอดิโอ รัชดาห้วยขวาง,NULL
2011-05-03,54/0177,2.Millennium Residences,NULL
2011-05-03,54/0177,3.สุขุมวิทซิตี้ รีสอร์ท,NULL
2011-05-03,54/0177,4.สีลมแกรนด์เทอเรส,NULL
2011-05-03,54/0177,5. สุขสาทร,NULL
2011-05-03,54/0178,ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส 1 เดือน,9000
2011-05-03,54/0178,(เม.ย..2554),NULL
2011-05-03,54/0179,MA : MEMBER,3510
2011-05-04,54/0180,1.สิทธิ์การเพิ่มทะเบียนบริษัท 1 ทะเบียน,8000
2011-05-04,54/0180,2.ส่วนลด 20%,NULL
2011-05-04,54/0181,ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),10800
2011-05-04,54/0181,ระยะเวลา  1 ปี,NULL
2011-05-04,54/0181,** หน่วยงาน จอนนี่ทาวเวอร์ **,NULL
2011-05-04,54/0182,ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),10800
2011-05-04,54/0182,ระยะเวลา  1 ปี,NULL
2011-05-04,54/0182,*** หน่วยงาน   TW สยามพาร์ทเนอร์ ***,NULL
2011-05-09,54/0183,MA : MEMBER,3900
2011-05-10,54/0184,ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),10800
2011-05-10,54/0184,ระยะเวลา  1 ปี,NULL
2011-05-10,54/0184,*** หน่วยงาน   คูนสุขวิลล์ ***,NULL
2011-05-10,54/0185,MA : MEMBER,10000
